,Longitudes,Latitudes
171,-4.4216366,36.7213028
172,-122.419906,37.7790262
173,78.4740613,17.360589
174,-1.6233086,6.6985605
175,10.4258729694612,45.77958045
176,-73.5698065,45.5031824
177,0.46466977412300386,51.77046785
178,-122.867045,45.4942838
179,-83.9849477,42.4347571
180,-75.4013315,38.6920451
181,77.590082,12.9767936
182,-104.984862,39.7392364
183,-90.2428756,38.6319657
184,-80.9084670987562,33.5412752
185,-117.6637012,33.8765114
186,134.755,-24.7761086
187,-72.33465445105234,19.37218875
188,-81.9034617,40.8615819
189,-71.060511,42.3554334
190,-48.4682453,-1.45056
191,-118.755997,36.7014631
192,-77.7278831,40.9699889
193,-77.4605399,38.3031837
194,32.5813539,0.3177137
195,1.8883335,46.603354
196,-97.7436995,30.2711286
197,-1.8888147987150585,52.4822706
198,3.4216678647032372,6.427299
199,71.247499,30.3308401
200,7.0188527,4.7676576
201,-80.9084670987562,33.5412752
202,-83.0007065,39.9622601
203,-74.00493831659591,40.71029005
204,-0.1276474,51.5073219
205,-48.8031367,-22.6029897
206,-71.060511,42.3554334
207,17.7578122,11.5024338
208,-86.1599871,39.6397682
209,-122.0322895,37.3228934
210,14.5208584,59.6749712
211,-0.1276474,51.5073219
212,-118.242766,34.0536909
213,176.93828736155422,-37.9503756
214,30.061507,-1.950851
215,-0.1276474,51.5073219
216,-72.33465445105234,19.37218875
217,6.9091612,43.954792
218,-79.3839347,43.6534817
219,-88.2358121,35.2334458
220,1.8883335,46.603354
221,-102.4107493,34.2331373
222,-73.5877584,45.5703531
223,-105.607716,38.7251776
224,-1.5391039,53.9921491
225,21.5161946,44.7629166
226,25.4856617,42.6073975
227,19.6608615,41.7862439
228,-77.75,-9.5
229,-84.3902644,33.7489924
230,117.8902853,-2.4833826
231,7.7507127,48.584614
232,-80.8408415,38.4758406
233,-77.0365427,38.8950368
234,-98.5456116,31.2638905
235,-76.9382069,39.5162401
236,20.4700021,44.7994499
237,-155.42837009716908,19.593801499999998
238,77.11313618265098,9.581420649999998
239,135.7556075,35.021041
240,139.7594549,35.6828387
241,3.3941795,6.4550575
242,-0.2012376,5.5571096
243,7.9999721,9.6000359
244,-65.1902298,-31.9449632
245,-5.3474761,36.1285933
246,-0.1276474,51.5073219
247,-83.7312291,42.2681569
248,-122.0832101,37.3893889
249,135.7556075,35.021041
250,135.7556075,35.021041
251,135.4489617,34.752726
252,15.82095999021995,40.5183188
253,88.3638815,22.5726723
254,-97.2684063,34.9550817
255,-80.9084670987562,33.5412752
256,-82.6881395,40.2253569
257,113.156,34.1501
258,120.3781372,36.0638034
259,-2.666667,57.166667
260,-80.9084670987562,33.5412752
261,-117.6637012,33.8765114
262,18.417396,-33.928992
263,8.7525902,46.3351913
264,-118.755997,36.7014631
265,-79.43175417702295,43.85193725
266,-2.5972985,51.4538022
267,-81.3790304,28.5421109
268,-71.4551948,41.5959878
269,-74.0060152,40.7127281
270,-82.4263676,42.9986074
271,-123.113952,49.2608724
272,-77.0365427,38.8950368
273,17.0772739,-22.5776104
274,47.4979476,29.2733964
